Decompisition energy (eV): 9.7537					
Energy (eV)	Rate coefficient (m3/s)				
0.50	8.95E-29				
1.00	1.13E-21				
2.00	4.74E-18				
3.00	8.36E-17				
4.00	3.66E-16				
5.045	9.42E-16				
10.09	6.51E-15				
15.14	1.35E-14				
20.18	2.03E-14				
25.23	2.66E-14				
30.27	3.24E-14				
35.32	3.78E-14				
40.36	4.27E-14				
45.41	4.74E-14				
50.45	5.17E-14				
55.5	5.58E-14				
60.55	5.97E-14				
65.59	6.35E-14				
70.64	6.70E-14				
75.68	7.04E-14				
80.73	7.37E-14				
85.77	7.69E-14				
90.82	7.99E-14				
95.86	8.29E-14				
100.9	8.57E-14				
106	8.85E-14				
111	9.12E-14				
116	9.38E-14				
121.1	9.64E-14				
126.1	9.89E-14				
131.2	1.01E-13				
136.2	1.04E-13				
141.3	1.06E-13				
146.3	1.08E-13				
151.4	1.11E-13				
156.4	1.13E-13				
161.5	1.15E-13				
166.5	1.17E-13				
171.5	1.19E-13				
176.6	1.21E-13				
181.6	1.23E-13				
186.7	1.25E-13				
191.7	1.27E-13				
196.8	1.29E-13				
201.8	1.31E-13				
206.9	1.33E-13				
211.9	1.35E-13				
217	1.37E-13				
222	1.39E-13				
227	1.40E-13				
232.1	1.42E-13				
237.1	1.44E-13				
242.2	1.46E-13				
247.2	1.47E-13				
252.3	1.49E-13				
257.3	1.51E-13				
262.4	1.52E-13				
267.4	1.54E-13				
272.5	1.56E-13				
277.5	1.57E-13				
282.5	1.59E-13				
287.6	1.60E-13				
292.6	1.62E-13				
297.7	1.64E-13				
302.7	1.65E-13				
307.8	1.67E-13				
312.8	1.68E-13				
317.9	1.70E-13				
322.9	1.71E-13				
328	1.72E-13				
333	1.74E-13				
338	1.75E-13				
343.1	1.77E-13				
348.1	1.78E-13				
353.2	1.80E-13				
358.2	1.81E-13				
363.3	1.82E-13				
368.3	1.84E-13				
373.4	1.85E-13				
378.4	1.86E-13				
383.5	1.88E-13				
388.5	1.89E-13				
393.5	1.90E-13				
398.6	1.92E-13				
403.6	1.93E-13				
408.7	1.94E-13				
413.7	1.96E-13				
418.8	1.97E-13				
423.8	1.98E-13				
428.9	2.00E-13				
433.9	2.01E-13				
439	2.02E-13				
444	2.03E-13				
449	2.04E-13				
454.1	2.06E-13				
459.1	2.07E-13				
464.2	2.08E-13				
469.2	2.09E-13				
474.3	2.11E-13				
479.3	2.12E-13				
484.4	2.13E-13				
489.4	2.14E-13				
494.5	2.15E-13				
499.5	2.16E-13				
