Decompisition energy (eV): 6.50					
Energy (eV)	Rate coefficient (m3/s)				
0.25	3.78E-26				
0.50	1.67E-20				
1.00	1.11E-17				
2.00	2.87E-16				
3.00	8.48E-16				
4.00	1.46E-15				
5.045	2.04E-15				
10.09	3.89E-15				
15.14	4.82E-15				
20.18	5.36E-15				
25.23	5.72E-15				
30.27	5.97E-15				
35.32	6.16E-15				
40.36	6.30E-15				
45.41	6.41E-15				
50.45	6.51E-15				
55.5	6.58E-15				
60.55	6.65E-15				
65.59	6.70E-15				
70.64	6.75E-15				
75.68	6.79E-15				
80.73	6.83E-15				
85.77	6.86E-15				
90.82	6.89E-15				
95.86	6.91E-15				
100.9	6.94E-15				
106	6.96E-15				
111	6.98E-15				
116	7.00E-15				
121.1	7.01E-15				
126.1	7.03E-15				
131.2	7.04E-15				
136.2	7.06E-15				
141.3	7.07E-15				
146.3	7.08E-15				
151.4	7.09E-15				
156.4	7.10E-15				
161.5	7.11E-15				
166.5	7.12E-15				
171.5	7.12E-15				
176.6	7.13E-15				
181.6	7.14E-15				
186.7	7.15E-15				
191.7	7.15E-15				
196.8	7.16E-15				
201.8	7.17E-15				
206.9	7.17E-15				
211.9	7.18E-15				
217	7.18E-15				
222	7.19E-15				
227	7.19E-15				
232.1	7.20E-15				
237.1	7.20E-15				
242.2	7.20E-15				
247.2	7.21E-15				
252.3	7.21E-15				
257.3	7.22E-15				
262.4	7.22E-15				
267.4	7.22E-15				
272.5	7.23E-15				
277.5	7.23E-15				
282.5	7.23E-15				
287.6	7.23E-15				
292.6	7.24E-15				
297.7	7.24E-15				
302.7	7.24E-15				
307.8	7.25E-15				
312.8	7.25E-15				
317.9	7.25E-15				
322.9	7.25E-15				
328	7.25E-15				
333	7.26E-15				
338	7.26E-15				
343.1	7.26E-15				
348.1	7.26E-15				
353.2	7.27E-15				
358.2	7.27E-15				
363.3	7.27E-15				
368.3	7.27E-15				
373.4	7.27E-15				
378.4	7.27E-15				
383.5	7.28E-15				
388.5	7.28E-15				
393.5	7.28E-15				
398.6	7.28E-15				
403.6	7.28E-15				
408.7	7.28E-15				
413.7	7.28E-15				
418.8	7.29E-15				
423.8	7.29E-15				
428.9	7.29E-15				
433.9	7.29E-15				
439	7.29E-15				
444	7.29E-15				
449	7.29E-15				
454.1	7.29E-15				
459.1	7.30E-15				
464.2	7.30E-15				
469.2	7.30E-15				
474.3	7.30E-15				
479.3	7.30E-15				
484.4	7.30E-15				
489.4	7.30E-15				
494.5	7.30E-15				
499.5	7.30E-15				
